1634,En modifiant l'URL de récupération d'un certificat_ il est possible de modifier le numéro de tracking de cette action dans les logs,somebody,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1635,Validation d'une demande de révocation: manque de cohérence,mbrossard,enhancement,closed,lowest,IDX-PKI 3.4 (Paperotta)
1637,Edition d'un profil de certificat: légère amélioration de l'interface anglaise,blepilliez,enhancement,closed,lowest,IDX-PKI 3.4 (Paperotta)
1655,Traduction manquante pour AppLogs/detailkey:hash_function,somebody,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1657,[CERT_RECH_PAR_SERIAL] Accepter les numéros de série préfixé par un 0,mbrossard,enhancement,closed,lowest,IDX-PKI 3.4 (Paperotta)
1658,[CERT_RECH_PAR_DN] Supprimer les espaces après les virgules,mbrossard,defect,closed,lowest,IDX-PKI 3.4 (Paperotta)
1663,Faute de frappe dans l'interface SCEP anglaise,blepilliez,enhancement,closed,normal,IDX-PKI 3.4 (Paperotta)
1671,Cases à cocher "liées" sous IE7 : Comportement erratique,ndelon,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1676,Révocation par lot : Erreur interne,mbrossard,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1681,[CERT_SCEP_CONF_ROUTEUR] Erreur lors du "crypto pki authenticate ...",somebody,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1683,Confiance aux AC : Segfault de httpd,somebody,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1699,Renouvellement: amélioration des traductions anglaises,gsedratidinet,enhancement,closed,normal,IDX-PKI 3.4 (Paperotta)
1700,Renouvellement Hors Service,gsedratidinet,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1708,La langue associée à l'admin.p12 est toujours l'anglais,ndelon,enhancement,closed,lowest,IDX-PKI 3.4 (Paperotta)
1709,La confirmation d'une demande de certificat est en anglais dans l'interface française,somebody,defect,closed,lowest,IDX-PKI 3.4 (Paperotta)
1713,Méta-données: la langue devrait être attachée au DN et non au certificat,somebody,enhancement,new,normal,IDX-PKI Roadmap
1714,Gestion des langues: c'est pas vraiment intuitif...,somebody,enhancement,new,normal,IDX-PKI Roadmap
1726,Imprécision dans l'interface scep anglaise,blepilliez,enhancement,closed,lowest,IDX-PKI 3.4 (Paperotta)
1727,Politique de mot de passe_ profil centralisé avec mot de passe aléatoire_ erreur sur l'AC,gsedratidinet,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1730,Création d'un profil d'autofill: préciser le terme "identifiant utilisateur",somebody,enhancement,closed,normal,IDX-PKI 3.4 (Paperotta)
1735,[PKI_CERT_SERV_LOG] Erreur interne,somebody,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1738,Recouvrement de son propre certificat de chiffrement: le mail est envoyé chiffré,ndelon,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
